 	اسم المؤسسة	المحلية	القطاع	نوع المؤسسة	العنوان	الهاتف	ملاحظات
36	مركز الدكتور محمد عثمان حسنين	الخرطوم بحري	خاص	معمل	امام كوبرى كوبر	0	لاتوجد
37	محمد عبدالقادر هلال	الخرطوم بحري	خاص	معمل	مجمع الأملاك حوار سينما الوطنية	0	لاتوجد
38	فوزى مرقص عطاالله	الخرطوم بحري	خاص	معمل	مجمع الأملاك جوار سينما الوطنية	0	لاتوجد
39	معمل الأمل الطبى التخصصى	الخرطوم بحري	خاص	معمل	مقابل بوابة مستشفى بحرى	0	لاتوجد
40	معمل خليفة الطبى	الخرطوم بحري	خاص	معمل	الأملاك شارع البلدية	0	لاتوجد
41	مختبر التحاليل الطبية(أحمد التجانى)	الخرطوم بحري	خاص	معمل	شارع الحوادث مستشفى بحرى	0	لاتوجد
42	معمل المختبر الطبى الإستشارى	الخرطوم بحري	خاص	معمل	شارع الحوادث	0	لاتوجد
43	معمل يحى على يوسف	الخرطوم بحري	خاص	معمل	شمال مستشفى بحرى للأسنان	0	لاتوجد
44	معمل محمداحمد ابراهيم	الخرطوم بحري	خاص	معمل	الحاج يوسف عيادة د/حمزة عمر	0	لاتوجد
45	معمل د.محمد خالد على الروى	الخرطوم بحري	خاص	معمل	شارع المؤسسة جوار صيدلية السنجك	0	لاتوجد
46	معمل عبدالله احمد على بردان	الخرطوم بحري	خاص	معمل	الحاج يوسف عيادة د/على عثمان	0	لاتوجد
47	معمل البلولة جادالله محمد	الخرطوم بحري	خاص	معمل	الحاج يوسف عيادة د.على عثمان	0	لاتوجد
48	معمل عبدالماجد ابراهيم الطاهر	الخرطوم بحري	خاص	معمل	الحلفاياعيادة د .مجدى لويس	0	لاتوجد
49	معمل د. الأمين محمد ابراهيم	الخرطوم بحري	خاص	معمل	شارع المعونة جوار صيدلية الشعبية	0	لايوجد
50	معمل التحاليل الطبية (قصى)	الخرطوم بحري	خاص	معمل	شارع المؤسسة مقابل عيادة الكدرو	0	لاتوجد
51	معمل الغرفة الطبية	الخرطوم بحري	خاص	معمل	شارع المؤسسة مقابل صيدلية السنجك	0	لاتوجد
52	صيدلية تباشير	الخرطوم بحري	خاص	صيدلية	الحاج يوسف لفة شارع 1 +لفة الردمية	0	لا
53	صيدلية شذى	الخرطوم بحري	خاص	صيدلية	حى الهدى مربع 1 شرق صينية كبرى المنشية	0	لا
54	صيدلية نمرة	الخرطوم بحري	خاص	صيدلية	شمال الجناح الخاص مستشفى بحرى	0	لا
55	صيدلية مستشفى الأمل	الخرطوم بحري	خاص	صيدلية	مستشفى الأمل	0	لا
56	صيدلية البرنس	الخرطوم بحري	خاص	صيدلية	بحرى المؤسسة +كوبر	0	لا
57	صيدلية الوطنية بحرى	الخرطوم بحري	خاص	صيدلية	شارع البلدية مقابل عمارة ابراهيم طلب	0	لا
58	صيدلية الجهاز القضائى	الخرطوم بحري	خاص	صيدلية	رئاسة الجهاز القضائى بحرى+شرق النيل	0	لا
59	صيدلية ابوالمقداد	الخرطوم بحري	خاص	صيدلية	مواقع مختلفة	0	لا
60	صيدلية مدينة البراحة الطبية	الخرطوم بحري	خاص	صيدلية	مدينة البراحة الطبية	0	لا
61	صيدلية الفريق	الخرطوم بحري	خاص	صيدلية	شارع ام دوم شرق الاتحاد التعاونى	0	لايوجد
62	صيدلية الأحباب	الخرطوم بحري	خاص	صيدلية	الحلفايا مربع 7 جنوب مدرسة القلم	0	لا
63	صيدلية الملوك	الخرطوم بحري	خاص	صيدلية	جوار مركز صحى الحلفايا	0	لا
64	صيدلية الإكسير	الخرطوم بحري	خاص	صيدلية	الحاج يوسف شارع واحد	0	لا
65	صيدلية سابينا2	الخرطوم بحري	خاص	صيدلية	المستشفى التعاونى التخصصى المزاد استاد التحرير	0	لا
66	صيدلية السنجك	الخرطوم بحري	خاص	صيدلية	شارع المعونة المؤسسة	0	لا
67	مستشفى رويال كير	الخرطوم	خاص	مستشفى	الرياض المشتل تقاطع الستين	0	يومياُ عدا الجمعة
68	محمد نور للبصريات	الخرطوم	خاص	بصريات	الرياض شارع النص جوار صيدلية المك نمر	183254585	---
69	محمد نور للبصريات	الخرطوم	خاص	بصريات	شارع الجمهورية عمارة صحارى + عمارة حيدر الصديق النعمة ش.السيد عبدالرحمن	0	----
70	مجمع مكة لطب العيون	الخرطوم	خاص	بصريات	الرياض شارع النص+فرع الكلاكلة اللفة	122819133	----
71	مركز السودان للعيون	الخرطوم	خاص	بصريات	العمارات شارع 41	0	---
72	مستشفى بست كير	الخرطوم	خاص	مستشفى	اللاماب	0	----
73	مركز الشهيد وداعة الله	الخرطوم	خاص	مركز	الكلاكلة القطعية جوار مسجد الحجر	912133462	---
74	مجمع التاج الطبى	الخرطوم	خاص	مركز	ابوادم	157813551	---
75	مجمع الواحة الطبى	الخرطوم	خاص	مركز	جبرة مربع 2	153999529	---
76	مجمع الشجرة الطبى	الخرطوم	خاص	مركز	الشجرة	0	---
77	مجمع السجانة الطبى	الخرطوم	خاص	مركز	الديم الشرقية محطة حجازى	0	---
78	مستشفى دار الشفاء	الخرطوم	خاص	مستشفى	شارع القصر جنوب سينما كلوزيوم	0	---
79	مجمع المك نمر الطبى	الخرطوم	خاص	مركز	الأزهرى شارع مايو أول محطة	0	---
80	مستشفى الشفاء التخصصى	الخرطوم	خاص	مستشفى	الكلاكلة شرق آخر محطة	0	----
81	مستشفى الثناء التخصصى	الخرطوم	خاص	مستشفى	الأمتداد الدرجة التالتة شارع محمد نجيب	157814788	------
82	مستشفى الجودة الطبى	الخرطوم	خاص	مستشفى	الديم شارع الصحافة زلط جنوب محطة الغالى	183492278	---
83	مركز ابن الهيثم التشخيصى	الخرطوم	خاص	مركز	شارع الحوادث شرق مستشفى الفيصل	155183530	---
84	مستشفى د.أحمد خالد حميدة للأطفال	الخرطوم	خاص	مستشفى	السوق المركزى	120730443	-----
85	مركز صحى مسجد برى اللاماب	الخرطوم	خاص	مركز	مسجد برى اللاماب العتيق	0	----
86	مجمع الرسالة الطبى	الخرطوم	خاص	مركز	الكلاكلة القلعة مربع 2	0	----
87	مجمع عيادات الرملى	الخرطوم	خاص	مركز	جبرة الشارقة مربع 13	0	-----
88	مستشفى الشريف التخصصى	الخرطوم	خاص	مستشفى	شارع الحوادث قبالة حوادث الأطفال	0	-----
89	مجمع الشهيد ناجى الطبى	الخرطوم	خاص	مركز	الكلاكلة ابوادم مربع 4	0	---
90	مستوصف المنيرة الجراحى	الخرطوم	خاص	مركز	شارع المستشفى غرب مستشفى	0	----
91	مركز علياء الطبى التخصصى	الخرطوم	خاص	مركز	الخرطوم 2 حنوب شرق نادى الأسرة	0	------
92	مركز الأمتداد الطبى	الخرطوم	خاص	مركز	شارع الصحافة زلط الأمتداد جنوب مركز سمير	0	----
93	مجمع ابوالريش الطبى	الخرطوم	خاص	مركز	السلمة محطة البقالة	0	-----
94	مجمع عيادات الفردوس جنوب	الخرطوم	خاص	مركز	الفردوس جنوب منتصف شارع ال30	0	----
95	مجمع عيادات الحماد	الخرطوم	خاص	مركز	المعمورة شارع عبيد ختم	0	----
96	مجمع عيادات الجهاز القضائى	الخرطوم	خاص	مركز	رئاسة الجهاز القضائى الخرطوم	0	----
97	مجمع عيادات الحكمة	الخرطوم	خاص	مركز	شارع السيد عبدالرحمن شرق ملاعب كمبونى	0	-----
98	شبكة العلاج العالمية	الخرطوم	خاص	مركز	الشجرة يثرب مربع 6 شارع المستودعات	0	---
99	مركز صحى زهرة نابرى	الخرطوم	خاص	مركز	اركويت مربع 64 شرق البلابل	0	-----
100	مجمع عيادات العميد عابدون سيداحمد	الخرطوم	خاص	مركز	شارع الحرية جوار مجمع المحاكم مقابل ميدان جاكسون	0	----
101	مجمع افريقيا الطبى	الخرطوم	خاص	مركز	شارع المطار تقاطع شارع 1 العمارات	0	-----
102	مجمع مواهب الطبى	الخرطوم	خاص	مركز	الكلاكلة شرق أخر محطة جوار صيدلية البردة	0	----
103	مجمع عيادات جبرة	الخرطوم	خاص	مركز	جبرة محطة كهرباء جبرة مربع 1	0	-----
104	مجمع الشهيد ابراهيم شمس الدين	الخرطوم	خاص	مركز	ابوادم مربع4	0	---
105	المركز السودانى للسمع	الخرطوم	خاص	مركز	شارع السيد عبدالرحمن تقاطع الطيار جميل	0	-----
106	مجمع المعلم الطبى	الخرطوم	خاص	مركز	غرب حديقة القرشى	0	------
107	مجمع الزاهر الطبى	الخرطوم	خاص	مركز	الازهرى مربع 15	0	-----
108	مجمع سبعة الطبى	الخرطوم	خاص	مركز	امتدادالدرجة الثالثة محطة سبعة الصحافة زلط	0	-----
109	مستشفى امبريال	الخرطوم	خاص	مستشفى	الخرطوم شرق/ شرق صيدلية المك نمر	0	----
110	مستشفى الفؤاد	الخرطوم	خاص	مستشفى	الصحافة شارع السوق المركزى المربع الذهبى	0	-----
111	مجمع عيادات ناصر الطبى	الخرطوم	خاص	مركز	امتداد ناصر مساء	0	-----
112	مجمع بروف /فاطمة عبدالمحمود	الخرطوم	خاص	مركز	الصحافة زلط جنوب محطةسبعة	0	----
113	مستوصف نوباتيا	الخرطوم	خاص	مركز	ابوادم تقاطع شارع جبل أولياء مع شارع مايو	0	----
114	مستوصف الهدى	الخرطوم	خاص	مركز	جبرة مربع 11شارع الشهيد طه الماحى	0	----
115	المركز العلاجى للأطفال	الخرطوم	خاص	مركز	شارع الصحافة زلط جنوب محطة الغالى	0	----
116	مستشفى الدوحة التخصصى ENT	الخرطوم	خاص	مستشفى	شارع محمد نجيب شرق جهاز المغتربين	0	---
117	المستشفى الجنوبى الخاص	الخرطوم	خاص	مستشفى	جنوب مستشفى الشعب الخرطوم	0	----
118	مركز صحى الرحمة	الخرطوم	خاص	مركز	العشرة محطة العمودين محطة 8	0	----
119	مجمع رزان التخصصى	الخرطوم	خاص	مركز	شارع الصحافة زلط / حى النزهة	0	-----
120	مستوصف المنورة التخصصى	الخرطوم	خاص	مركز	الكلاكلة المنورة جوار مجمع المحاكم	0	-----
121	مستوصف المدينة التخصصى	الخرطوم	خاص	مركز	شارع الهندى جوار الطيران المدنى	0	----
122	مستشفى الصفا التخصصى	الخرطوم	خاص	مستشفى	الطائف مربع22 شرق سكر كنانة	0	-----
123	مستشفى جياد	الخرطوم	خاص	مستشفى	مدينة جياد الصناعية	0	----
124	مستشفى شوامخ	الخرطوم	خاص	مستشفى	العمارات شارع 25 مستشفى ابن خلدون سايقاً	0	-------
125	مستشفى سارة وغنيمة	الخرطوم	خاص	مستشفى	الأمتداد شرق مركز صحى سمير	0	-------------
126	مجمع حراء الطبى التخصصى	الخرطوم	خاص	مركز	المقرن جوار اتحاد طلاب جامعة السودان	912351782	----
127	مستشفى حراء التخصصى	الخرطوم	خاص	مستشفى	العمارات شارع5 غرب بنك الثروة الحيوانية	912809292	---
128	مركز الفرقان لأمراض الكلى	الخرطوم	خاص	مركز	العمارات شارع 55	0	---
129	المركز القومى للعلاج بالأشعة	الخرطوم	خاص	مركز	شارع القصر مستشفى الذرة	0	---
130	مركز الطاهرة الطبى	الخرطوم	خاص	مركز	ابوادم مربع 10 شاعر شرق	0	----
131	مركز زمزم الطبى التخصصى	الخرطوم	خاص	مركز	جبل أولياء السوق شرق مسجد العبادى	914414368	----
132	مستوصف البوشى	الخرطوم	خاص	مركز	الكلاكلة اللفة شارع المستشفى التركى	121977502	----
133	مستشفى المودة التخصصى	الخرطوم	خاص	مستشفى	شمال شرق كمبونى شارع 21 أكتوبر	0	----
134	مستشفى الحكمة	الخرطوم	خاص	مستشفى	العمارات شارع 3	0	----
135	مركز نعمة الطبى	الخرطوم	خاص	مركز	الكلاكلة شرق أخر محطة	915528498	----
136	مجمع الأزهرى الطبى	الخرطوم	خاص	مركز	الأزهرى مربع 28	0	----
137	مركز جادان الطبى	الخرطوم	خاص	مركز	الامتداد	0	-----
138	مستوصف الجعفرى ونورى	الخرطوم	خاص	مركز	الكلاكلة	0	----
139	مركز الريان لجراحة المناظير	الخرطوم	خاص	مركز	عيادة د.عشميق شارع المك نمر	0	----
140	مركز الريان الطبى الحديث	الخرطوم	خاص	مركز	تقاطع شارع الستين مع الشرقى	912303699	----
141	مستشفى مكة للعيون	الخرطوم	خاص	مستشفى	شارع الرياض بالنص شرق عبيد ختم	0	---
142	مجمع الفردوس المتكامل الطبى	الخرطوم	خاص	مركز	الفردوس شمال مربع 58	0	-----
143	مركز السودان للعيون	الخرطوم	خاص	مركز	العمارات شارع 41	0	---
144	المركز الطبى الحديث	الخرطوم	خاص	مركز	شارع افريقيا عقار رقم 71	183471683	----
145	مركز زمزم	الخرطوم	خاص	مركز	العمارات شارع 1 مقابل النادى الألمانى	0	-----
146	مركز يثرب الطبى	الخرطوم	خاص	مركز	الشجرة	0	----
147	مستشفى نور العيون	الخرطوم	خاص	مستشفى	اركويت شارع البلابل شرق مبنى كنار	0	-----------
148	مركز السودان للقلب	الخرطوم	خاص	مركز	اركويت شارع البلابل شرق مبنى كنار	0	--------
149	مستشفى الأمل التخصصى	الخرطوم	خاص	مستشفى	شارع الستين جنوب مدرسة الخرطوم القديمة	0	---------
150	مستشفى مهيرة	الخرطوم	خاص	مستشفى	الرياض شمال المشتل شمال شامل هاوس	0	لاتوجد
151	مستشفى الشيخ التخصصى	الخرطوم	خاص	مستشفى	اركويت نهاية شارع عبيد ختم	0	----------
152	مستشفى ابن خلدون	الخرطوم	خاص	مستشفى	الخرطوم 2 شمال حديقة اشراقة التجانى يوسف بشير	183471748	-
153	مستشفى يستبشرون	الخرطوم	خاص	مستشفى	الرياض جوار اكاديميةالعلوم الطبية	183237804	-
154	مستشفى الأطباء	الخرطوم	خاص	مستشفى	شارع المطار	0	------
155	مستشفى الفيصل التخصصى	الخرطوم	خاص	مستشفى	شارع المستشفى مقابل صيدلية شيكان	0	-
156	مستشفى ساهرون	الخرطوم	خاص	مستشفى	برى جوار كلية الرباط	0	-
157	السر على سعيد	الخرطوم	خاص	معمل	مستشفى ساهرون	0	لاتوجد
158	معمل بيشوى عزت بريص	الخرطوم	خاص	معمل	شرق السفارة الامريكية القديمة	0	لاتوجد
159	مركز رويال اسكان	الخرطوم	خاص	معمل	شارع الحوادث شرق مستشفى فضيل	0	لاتوجد
160	معمل كامل محمد حسن	الخرطوم	خاص	معمل	شمال ملاعب كمبونى غرب صيدلية عزة	912365203	لاتوجد
161	معمل كوالتى لاب	الخرطوم	خاص	معمل	شارع المستشفى عيادة ابارو	0	لاتوجد
162	معمل ياسر عبدالرحمن	الخرطوم	خاص	معمل	مجمع القرشى	0	لاتوجد
163	مركز الريات التخصصى	الخرطوم	خاص	معمل	شرق م.الفيصل بالة صيدلية شوامخ	0	عام+مناعة
164	معمل مجمع المعلم الطبى	الخرطوم	خاص	معمل	الخرطوم3 غرب حديقة القرشى	0	عام + هرمونات +أنسجة
165	احمد محمد زين (مجمع زين الطبى)	الخرطوم	خاص	معمل	تقاطع شارع السيد عبدالرحمن مع شارع القصر	0	لايوجد
166	معمل مجمع عيادات الحكمة	الخرطوم	خاص	معمل	شارع السيد عبدالرحمن شرق ملاعب كمبونى	0	لا
167	مركز السودان للتشخيص	الخرطوم	خاص	معمل	شارع الحوادث	0	معمل + أشعة
168	معمل عيادة د.حمزة	الخرطوم	خاص	معمل	شارع الحوادث تقاطع كونت مخلص	0	لا
169	معمل مجمع سبعة الطبى (سيف)	الخرطوم	خاص	معمل	امتداد الدرجة التالتة محطة سبعة	0	لا
170	النعمة للتحاليل الطبية	الخرطوم	خاص	معمل	مجمع حيدر الصديق النعمة	0	لا
171	المختبرات الإردنية الطبية	الخرطوم	خاص	معمل	شارع الحوادث مقابل فضيل	0	معمل متكامل
172	معمل الترا لاب	الخرطوم	خاص	معمل	تقاطع شارع الحوادث مع المك نمر+الكلاكلة اللفة	0	عام
173	مختبر التحاليل الطبية	الخرطوم	خاص	معمل	شارع الحوادث جوار مركز فضيل	0	عام
174	معمل مركز جادان الطبى	الخرطوم	خاص	معمل	شارع محمد نجيب تقاطع شارع 41	0	عام
175	معمل انتصار ابراهيم عبدالباسط	الخرطوم	خاص	معمل	مجمع العالم شارع القصر	0	عام
176	معمل عيادة د.حامد العبيد	الخرطوم	خاص	معمل	امتداد ناصر جنوب صيدلية الرياض	0	عام
177	معمل مجمع السجانة الطبى	الخرطوم	خاص	معمل	الديوم الشرقية محطة حجازى	0	عام
178	معمل الرضوان للتحاليل الطبية	الخرطوم	خاص	معمل	شارع السيد عبدالرحمن مجمع حيدر الصديق النعمة	0	عام
179	معمل د.عثمان عبدالوهاب	الخرطوم	خاص	معمل	مستشفى فضيل	0	اشعة + موجات
180	معمل عيادة د.عصمت كمير	الخرطوم	خاص	معمل	الكلاكلة جوار صيدلية الإحسان	0	عام
181	معمل مجمع الشجرة الطبى	الخرطوم	خاص	معمل	غرب مركز صحى الشجرة	0	عام
182	معمل الإمتداد الطبى	الخرطوم	خاص	معمل	جنوب مركز صحى سمير	0	عام
183	معمل المختبر السودانى السعودى	الخرطوم	خاص	معمل	شارع البلدية جوار الخطوط السورية	0	عام + هرمونات
184	معمل الطيب محمد كباشى	الخرطوم	خاص	معمل	جبل اولياء الحلة الجديدة جنوب السوق	0	عام + هرمونات
185	مركز رسم المخ	الخرطوم	خاص	معمل	مجمع الرحمة الطبى شارع الحوادث	0	رسم المخ
186	أيمن محمد على	الخرطوم	خاص	معمل	عيادة د. عبدالعظيم كبلو مجمع ابن رشد	0	عام + هرمونات
187	معمل مركز الخرطوم التشخيصى المتطور	الخرطوم	خاص	معمل	شارع المستشفى شرق حوادث الأطفال	0	أشعة + موجات صوتية +رنين
188	معمل د. محمد خالد الروى	الخرطوم	خاص	معمل	شارع المستشفى جوار مستشفى الفيصل	0	أشعة + موجات صوتية
189	معمل مركز النيلين التشخيصى	الخرطوم	خاص	معمل	مركز النيلين شرق سينما كلوزيوم	0	عام +هرمونات
190	معمل مستشفى يستبشرون	الخرطوم	خاص	معمل	مستشفى يستبشرون	0	هرمونات+أنسجة
191	معمل مجمع الكوقلى	الخرطوم	خاص	معمل	شارع السيد عبدالرحمن مجمع الكوقلى	0	عام+هرمونات+أنسجة
192	معمل محمد عمر عالييب	الخرطوم	خاص	معمل	مجمع الرحمة شارع حوادث مستشفى الخرطوم	0	عام
193	معمل مجمع العالم	الخرطوم	خاص	معمل	شارع القصر جوار كلية الصيدلة	0	عام +هرمونات
194	معمل المركز الطبى الحديث	الخرطوم	خاص	معمل	شارع المطار المركز الطبى الحديث	0	عام +هرمونات
195	معمل المركز الإستشارى	الخرطوم	خاص	معمل	عيادة د.عشميق شارع المك نمر	0	عام+هرمونات
196	معمل هيئة الطاقة الذرية	الخرطوم	خاص	معمل	جنوب ملاعب كمبونى شارع السيد عبدالرحمن	0	عام +هرمونات
197	د. محمد ربيع	الخرطوم	خاص	معمل	شارع المستشفى شرق حوادث الولادة	0	ا شعة +موجات صوتية
198	صيدلية المك نمر	الخرطوم	خاص	صيدلية	حى الصفا بشارع عبيد ختم +حى الأزهرى	0	لا
199	صيدلية القبس	الخرطوم	خاص	صيدلية	شارع الحرية شرق السفارة الامريكية	0	لايوجد
200	صيدلية البركة	الخرطوم	خاص	صيدلية	برج البركة	0	لايوجد
201	صيدلية الفرقان	الخرطوم	خاص	صيدلية	شارع الصحافة زلط جوار طلمبة النيل	0	لا
202	صيدلية مستشفى الشيخ	الخرطوم	خاص	صيدلية	اركويت مستشفى الشيخ	0	لايوجد
203	صيدلية السلام	الخرطوم	خاص	صيدلية	جبرة مربع 2	0	لاتوجد
204	صيدلية الجمعية الطبية	الخرطوم	خاص	صيدلية	جوار مستشفى الأذن والأنف والحنجرة	0	لاتوجد
205	صيدلية الأحمدى	الخرطوم	خاص	صيدلية	مواقع مختلفة	0	لايوجد
206	صيدلية قاردن سيتى	الخرطوم	خاص	صيدلية	برى شارع المعرض	0	لايوجد
207	صيدلية المك نمر	الخرطوم	خاص	صيدلية	مواقع مختلفة	0	لايوجد
208	صيدلية مركز النيلين الطبى	الخرطوم	خاص	صيدلية	مركز النيلين الطبى شرق سينما كلوزيوم	0	لايوجد
209	صيدلية الدوحة	الخرطوم	خاص	صيدلية	الكلاكلة اللفة جنوب مستشفى	0	لايوجد
210	صيدلية عثمان دقنة	الخرطوم	خاص	صيدلية	شارع الحوادث جوار حوادث الأطفال	0	لاتوجد
211	صيدلية الخرطوم شرق	الخرطوم	خاص	صيدلية	شارع السيد عبدالرحمن جنوب مستشفى الزيتونة	0	لاتوجد
212	صيدلية سابينا	الخرطوم	خاص	صيدلية	شارع المك نمر مقابل هيئة الأوقاف الاسلامية	0	لايوجد
213	صيدلية الشريان الحديثة	الخرطوم	خاص	صيدلية	اللاماب مربع 5	0	لايوجد
214	صيدلية العدالة الشعبية	الخرطوم	خاص	صيدلية	شارع السيد عبدالمنعم رئاسة السلطة القضائية	0	لايوجد
215	صيدلية مستشفى الأمل	الخرطوم	خاص	صيدلية	مستشفى الأمل المنشية	0	لايوجد
216	صيدلية الرضا الحديثة	الخرطوم	خاص	صيدلية	شارع السيد عبدالرحمنشرق بنك الاستثمار المالى	0	لايوجد
217	صيدلية المركز الاستشارى	الخرطوم	خاص	صيدلية	مركز عشميق شارع المك نمر	0	لايوجد
218	الصيدلية المتخصصة	الخرطوم	خاص	صيدلية	الصحافة شرق شمال مستشفى الفؤاد	0	لاتوجد
219	صيدلية ابوالوليد	الخرطوم	خاص	صيدلية	الصحافة شرق	0	لاتوجد
220	صيدلية جبل أولياء	الخرطوم	خاص	صيدلية	جبل أولياء السوق/غرب موقف الخرطوم	0	لايوجد
221	صيدلية نعمة الحديثة	الخرطوم	خاص	صيدلية	الكلاكلة شرق	0	لايوجد
222	صيدلية مركز طب الاسنان	الخرطوم	خاص	صيدلية	شارع البلدية جوار الدار السودانية للكتب	0	لايوجد
223	صيدلية الرسالة	الخرطوم	خاص	صيدلية	الكلاكلة القلعة مربع 2	923060632	لايوجد
224	صيدلية جمال	الخرطوم	خاص	صيدلية	المسعودية	0	لايوجد
225	صيدلية جادان	الخرطوم	خاص	صيدلية	شارع محمد نجيب العمارات شارع 41	0	لايوجد
226	صيدلية التقوى	الخرطوم	خاص	صيدلية	الكلاكلة القلعة مقابل السجل المدنى	0	لايوجد
227	صيدلية بلادى الحديثة	الخرطوم	خاص	صيدلية	الكلاكلة شرق	0	لايوجد
228	صيدلية مركز السودان للعيون	الخرطوم	خاص	صيدلية	العمارات شارع 41	0	لاتوجد
229	صيدلية مجمع العميد عبدون	الخرطوم	خاص	صيدلية	شارع الحرية جوار مجمع المحاكم مقابل ميدان جاكسون	0	لاتوجد
230	صيدلية مستشفى الفؤاد	الخرطوم	خاص	صيدلية	السوق المحلى مستشفى الفؤاد	0	.............
231	صيدلية كمبال	الخرطوم	خاص	صيدلية	شارع الجمهورية جوار بنك الخرطوم	0	لايوجد
232	صيدلية الشهيدة سلمى	الخرطوم	خاص	صيدلية	شارع السيد عبدالرحمن شرق بنك الاستثمار المالى	0	لايوجد
233	صيدلية سورج	الخرطوم	خاص	صيدلية	عمارة الامارات غرب موقف جبرة سابقاُ	0	لايوجد
234	صيدلية مستشفى الأطباء	الخرطوم	خاص	صيدلية	شارع المطار جوار مستشفى الأطباء	0	لايوجد
235	صيدلية عبرى	الخرطوم	خاص	صيدلية	الكلاكلة سوق اللفة شمال مجمع الرشيد	0	لاتوجد
